nombre,direccion,latitud,longitud,tipo_cocina,nivel_precio,rating,num_resenas,zona,ingreso_median,estatus,notas
Cassis Bistro,"2505 17 Ave SW, Calgary, AB T3C 1J7, Canada",51.0374194,-114.1181389,French,3,4.7,702,Beltline,71000,Prospecto,
Barbarella Bar,"240 8 Ave SW, Calgary, AB T2P 1B5, Canada",51.0458953,-114.0676674,Italian,,4.3,1504,Downtown,51200,Prospecto,
The Beltliner,"243 12 Ave SW, Calgary, AB T2R 1H7, Canada",51.0413045,-114.0678637,Restaurant,2,4.2,1590,Beltline,71000,Prospecto,
Vero Bistro Moderne,"209 10 St NW, Calgary, AB T2N 1V5, Canada",51.053106,-114.0861085,Bistro,3,4.7,835,Kensington,69500,Prospecto,
Bow Valley Ranche Restaurant,"15979 Bow Bottom Trail SE, Calgary, AB T2J 5E8, Canada",50.9103736,-114.0213989,"Fine Dining, Brunch",3,4.6,1739,South/Industrial,44000,Prospecto,
Gyu-Kaku Japanese BBQ,"638 6 Ave SW #100, Calgary, AB T2P 1X4, Canada",51.047944,-114.0759597,"Japanese, Tapas, Barbecue",2,4.4,3590,Downtown,51200,Prospecto,
Earls Kitchen + Bar,"8 Ave SW #315, Calgary, AB T2P 1C4, Canada",51.0455173,-114.0692971,Restaurant,2,4.5,3428,Downtown,51200,Prospecto,
Francine's - A French Bar,"306 Centre St S, Calgary, AB T2G 5J8, Canada",51.050054,-114.062573,Restaurant,,4.9,114,East Village,68000,Prospecto,
Owens Landing,"308 4 Ave SW, Calgary, AB T2P 0H7, Canada",51.0495122,-114.0684382,Restaurant,,4.7,1283,Downtown,51200,Prospecto,
LOCAL Public Eatery 8th Avenue,"310 8 Ave SW, Calgary, AB T2P 1C5, Canada",51.0458265,-114.0685829,Restaurant,2,4.5,3142,Downtown,51200,Prospecto,
Lulu Bar,"510 17 Ave SW, Calgary, AB T2S 0B1, Canada",51.0380026,-114.0721888,Restaurant,,4.5,1711,Beltline,71000,Prospecto,
Bridgette Bar,"739 10 Ave SW, Calgary, AB T2R 0C4, Canada",51.043668,-114.0786705,Restaurant,3,4.7,3333,Beltline,71000,Prospecto,
EIGHT,"631 Confluence Way SE, Calgary, AB T2G 1C3, Canada",51.0474289,-114.0493771,Restaurant,,4.7,77,East Village,68000,Prospecto,
Palomino Smokehouse,"109 7 Ave SW, Calgary, AB T2P 3E6, Canada",51.0463751,-114.063591,Barbecue,2,4.4,2909,Downtown,51200,Prospecto,
The Wednesday Room,"118 8 Ave SW #100, Calgary, AB T2P 1B3, Canada",51.0456754,-114.0641097,Restaurant,3,4.4,1303,Downtown,51200,Prospecto,
The Living Room Restaurant,"514 17 Ave SW, Calgary, AB T2S 0B1, Canada",51.0379996,-114.0724281,"Oyster Bar, Fondue",3,4.3,846,Beltline,71000,Prospecto,
Rodney's Oyster House Calgary,"355 10 Ave SW, Calgary, AB T2R 0A5, Canada",51.043405,-114.0712596,"Oyster Bar, Seafood",3,4.5,2110,Beltline,71000,Prospecto,
The Shoe and Canoe Public House,"209 4 Ave SE, Calgary, AB T2G 0C6, Canada",51.0489002,-114.0596967,Breakfast,2,4.2,342,Downtown,51200,Prospecto,
Pigeonhole 17th,"306 17 Ave SW, Calgary, AB T2S 2V1, Canada",51.037946,-114.0689206,Restaurant,3,4.6,865,East Village,68000,Prospecto,
Hy's Steakhouse & Cocktail Bar,"8 Avenue at, 3 St SW, Calgary, AB T2P 4K8, Canada",51.0458763,-114.0707786,"Fine Dining, Seafood",,4.6,1702,Beltline,71000,Prospecto,
Thomsons Kitchen & Bar,"112 8 Ave SE, Calgary, AB T2G 5P6, Canada",51.0457158,-114.0623363,Restaurant,3,4.1,333,Downtown,51200,Prospecto,
Pigeonhole Downtown,"225 7 Ave SW #205, Calgary, AB T2P 2W2, Canada",51.04642,-114.0671283,Restaurant,,4.6,70,East Village,68000,Prospecto,
Native Tongues Taqueria - Victoria Park,"235 12 Ave SW, Calgary, AB T2R 1H7, Canada",51.0413872,-114.0675581,"Mexican, Taco",2,4.5,4909,Downtown,51200,Prospecto,
Bar Chouette,"227 11 Ave SW #130, Calgary, AB T2R 0E9, Canada",51.0418256,-114.0679355,French,,4.6,204,Beltline,71000,Prospecto,
